AGE,CITIZEN,CRIMHIST,CRIMPTS,judge,NEWEDUC,NEWRACE,MONSEX,OFFICE,PRISTOT,PROBATN,SENTDATE,SENTMON,SENTYR
31,1,1,10,John J. McConnell Jr.,1,1,0,1,0,0,,9,2011
28,1,0,0,John J. McConnell Jr.,5,1,0,1,97,0,,3,2011
38,3,1,0,John J. McConnell Jr.,1,3,0,1,181,0,,12,2011
24,1,1,14,John J. McConnell Jr.,1,2,0,1,63,0,,6,2011
40,1,1,1,John J. McConnell Jr.,3,3,0,1,60,0,,5,2011
41,3,0,0,John J. McConnell Jr.,3,3,0,1,60,0,,4,2012
31,1,1,12,John J. McConnell Jr.,3,2,0,1,180,0,,4,2012
43,1,1,0,John J. McConnell Jr.,3,1,0,1,60,0,,1,2011
34,1,1,6,John J. McConnell Jr.,1,2,0,1,46,0,,8,2011
35,1,1,17,John J. McConnell Jr.,3,3,0,1,30,0,,8,2011
37,1,1,16,John J. McConnell Jr.,6,1,0,1,151,0,,9,2011
46,1,1,0,John J. McConnell Jr.,5,1,0,1,108,0,,7,2011
33,1,1,9,John J. McConnell Jr.,3,1,0,1,188,0,,4,2011
27,1,1,11,John J. McConnell Jr.,3,3,0,1,120,0,,1,2011
20,1,1,10,John J. McConnell Jr.,3,2,0,1,46,0,,3,2011
37,1,1,10,John J. McConnell Jr.,3,2,0,1,96,0,,3,2011
60,1,1,1,John J. McConnell Jr.,5,1,0,1,0,60,,9,2011
51,1,1,1,John J. McConnell Jr.,1,1,0,1,0,0,,9,2011
51,1,1,15,John J. McConnell Jr.,3,2,1,1,84,0,,6,2011
37,1,1,14,John J. McConnell Jr.,1,1,0,1,84,0,,9,2011
36,1,1,0,John J. McConnell Jr.,3,1,0,1,0,0,,3,2012
40,3,1,4,John J. McConnell Jr.,1,3,0,1,0,0,,9,2011
25,1,1,4,John J. McConnell Jr.,1,2,0,1,46,0,,2,2012
30,1,1,27,John J. McConnell Jr.,3,1,0,1,37,0,,9,2011
63,1,1,0,John J. McConnell Jr.,5,6,1,1,12,0,,10,2013
32,1,1,0,John J. McConnell Jr.,3,6,0,1,0,60,,12,2011
60,1,0,0,John J. McConnell Jr.,6,6,0,1,36,0,,12,2013
26,1,1,18,John J. McConnell Jr.,1,3,0,1,77,0,,1,2012
31,3,1,0,John J. McConnell Jr.,1,3,0,1,0,60,,6,2011
48,3,1,1,John J. McConnell Jr.,1,3,0,1,30,0,,4,2012
37,1,1,28,John J. McConnell Jr.,3,1,0,1,151,0,,8,2012
49,1,1,1,John J. McConnell Jr.,3,2,1,1,0,36,,9,2011
33,1,1,6,John J. McConnell Jr.,3,6,0,1,84,0,,1,2013
52,1,0,0,John J. McConnell Jr.,3,3,0,1,12,0,,3,2012
42,1,0,0,John J. McConnell Jr.,5,3,0,1,12,0,,3,2012
38,1,1,10,John J. McConnell Jr.,5,2,0,1,41,0,,5,2012
35,3,1,1,John J. McConnell Jr.,5,2,0,1,41,0,,9,2011
18,2,1,4,John J. McConnell Jr.,1,2,0,1,6,0,,1,2012
59,1,0,0,John J. McConnell Jr.,6,1,0,1,36,0,,12,2013
36,3,1,0,John J. McConnell Jr.,1,3,1,1,0,0,,11,2011
32,1,1,14,John J. McConnell Jr.,3,2,0,1,77,0,,12,2011
35,1,1,19,John J. McConnell Jr.,1,2,0,1,120,0,,3,2014
29,3,1,4,John J. McConnell Jr.,1,3,0,1,27,0,,4,2012
36,3,1,0,John J. McConnell Jr.,1,1,0,1,60,0,,4,2012
43,1,1,4,John J. McConnell Jr.,1,2,0,1,132,0,,5,2012
38,1,1,11,John J. McConnell Jr.,1,2,0,1,312,0,,1,2013
34,1,1,22,John J. McConnell Jr.,1,3,0,1,175,0,,3,2013
29,1,1,11,John J. McConnell Jr.,3,2,0,1,30,0,,4,2012
24,1,1,0,John J. McConnell Jr.,1,3,0,1,12,0,,10,2012
29,1,1,9,John J. McConnell Jr.,3,3,0,1,96,0,,5,2013
48,3,1,0,John J. McConnell Jr.,1,3,0,1,0,0,,1,2012
38,1,1,0,John J. McConnell Jr.,3,1,0,1,0,0,,5,2015
18,1,1,2,John J. McConnell Jr.,1,2,1,1,0,0,,5,2015
22,1,1,1,John J. McConnell Jr.,1,1,1,1,12,0,,8,2012
36,1,1,2,John J. McConnell Jr.,3,3,0,1,33,0,,9,2012
25,1,1,10,John J. McConnell Jr.,1,1,0,1,60,0,,7,2012
30,1,1,3,John J. McConnell Jr.,3,2,0,1,240,0,,10,2012
34,1,1,1,John J. McConnell Jr.,1,1,1,1,0,36,,8,2012
24,1,1,3,John J. McConnell Jr.,1,3,0,1,46,0,,7,2012
37,1,1,4,John J. McConnell Jr.,3,1,0,1,0,60,,8,2012
39,1,1,10,John J. McConnell Jr.,3,3,0,1,120,0,,3,2013
31,3,1,0,John J. McConnell Jr.,1,3,0,1,4,0,,12,2011
41,3,1,2,John J. McConnell Jr.,1,3,0,1,0,0,,3,2012
42,1,1,11,John J. McConnell Jr.,1,3,0,1,120,0,,4,2012
36,1,1,7,John J. McConnell Jr.,3,3,0,1,96,0,,5,2012
65,1,1,6,John J. McConnell Jr.,3,1,0,1,0,12,,8,2012
25,1,1,8,John J. McConnell Jr.,1,2,0,1,37,0,,8,2012
37,1,1,3,John J. McConnell Jr.,1,3,0,1,120,0,,5,2012
36,1,1,11,John J. McConnell Jr.,1,2,0,1,92,0,,5,2012
27,1,1,9,John J. McConnell Jr.,3,2,0,1,37,0,,7,2012
30,1,1,14,John J. McConnell Jr.,3,2,0,1,180,0,,7,2013
38,1,1,15,John J. McConnell Jr.,1,3,0,1,18,0,,4,2013
31,1,0,0,John J. McConnell Jr.,3,1,0,1,60,0,,11,2012
23,1,1,,John J. McConnell Jr.,3,2,0,1,60,0,,6,2012
45,3,1,2,John J. McConnell Jr.,1,3,0,1,21,0,,10,2012
20,1,0,0,John J. McConnell Jr.,5,1,0,1,0,0,,8,2012
81,1,0,0,John J. McConnell Jr.,6,1,0,1,0,60,,6,2012
28,1,1,9,John J. McConnell Jr.,1,3,0,1,84,0,,6,2012
34,1,1,7,John J. McConnell Jr.,3,3,0,1,70,0,,7,2012
29,1,1,13,John J. McConnell Jr.,1,3,0,1,115,0,,6,2012
26,1,1,7,John J. McConnell Jr.,1,3,0,1,46,0,,12,2012
31,3,1,0,John J. McConnell Jr.,1,3,0,1,0,0,,7,2012
66,1,1,0,John J. McConnell Jr.,1,1,0,1,0,24,,7,2012
21,1,1,8,John J. McConnell Jr.,3,3,0,1,30,0,,7,2012
52,1,0,0,John J. McConnell Jr.,6,3,0,1,0,60,,12,2012
44,1,0,0,John J. McConnell Jr.,6,1,0,1,0,60,,9,2012
32,3,1,0,John J. McConnell Jr.,5,2,0,1,21,0,,9,2013
82,1,0,0,John J. McConnell Jr.,5,1,0,1,0,48,,8,2013
50,1,0,0,John J. McConnell Jr.,6,1,1,1,0,60,,12,2013
55,1,0,0,John J. McConnell Jr.,6,1,0,1,120,0,,11,2013
67,1,0,0,John J. McConnell Jr.,1,2,0,1,24,0,,4,2013
31,1,1,20,John J. McConnell Jr.,1,1,0,1,30,0,,3,2013
38,1,1,0,John J. McConnell Jr.,5,1,0,1,0,24,,11,2012
25,1,1,3,John J. McConnell Jr.,3,1,0,1,51,0,,9,2012
23,1,1,6,John J. McConnell Jr.,5,2,0,1,72,0,,9,2012
23,1,1,4,John J. McConnell Jr.,1,1,0,1,24,0,,9,2012
64,1,0,0,John J. McConnell Jr.,6,1,0,1,0,0,,10,2012
44,1,1,0,John J. McConnell Jr.,3,1,0,1,0,0,,2,2013
48,3,1,5,John J. McConnell Jr.,1,3,0,1,36,0,,12,2012
35,1,1,3,John J. McConnell Jr.,1,2,0,1,60,0,,1,2014
36,1,1,11,John J. McConnell Jr.,1,2,0,1,120,0,,1,2013
27,1,1,7,John J. McConnell Jr.,3,2,0,1,71,0,,11,2012
52,1,1,0,John J. McConnell Jr.,3,1,0,1,60,0,,2,2013
29,1,1,2,John J. McConnell Jr.,1,3,0,1,60,0,,6,2013
35,3,1,1,John J. McConnell Jr.,1,3,0,1,8,0,,5,2013
49,1,0,0,John J. McConnell Jr.,3,1,0,1,0,36,,2,2013
49,1,1,0,John J. McConnell Jr.,6,1,0,1,24,0,,2,2013
31,1,1,4,John J. McConnell Jr.,3,1,0,1,30,0,,7,2013
33,3,1,0,John J. McConnell Jr.,5,3,1,1,0,36,,4,2013
39,1,1,0,John J. McConnell Jr.,1,3,0,1,60,0,,5,2013
28,1,1,4,John J. McConnell Jr.,,3,0,1,71,0,,4,2013
47,1,0,0,John J. McConnell Jr.,1,3,0,1,70,0,,5,2013
30,1,1,9,John J. McConnell Jr.,3,2,0,1,120,0,,2,2013
42,1,1,8,John J. McConnell Jr.,3,1,0,1,30,0,,7,2013
54,1,1,3,John J. McConnell Jr.,5,1,0,1,33,0,,4,2013
47,1,1,1,John J. McConnell Jr.,5,3,0,1,0,24,,4,2013
40,1,1,3,John J. McConnell Jr.,3,1,0,1,37,0,,6,2013
35,3,1,2,John J. McConnell Jr.,1,3,0,1,24,0,,3,2013
47,1,1,4,John J. McConnell Jr.,3,2,0,1,96,0,,3,2013
38,1,1,0,John J. McConnell Jr.,3,1,0,1,420,0,,1,2014
50,1,1,0,John J. McConnell Jr.,1,1,0,1,12,0,,10,2013
22,1,1,0,John J. McConnell Jr.,1,1,0,1,0,36,,2,2014
28,1,1,4,John J. McConnell Jr.,3,2,0,1,70,0,,5,2013
38,3,1,0,John J. McConnell Jr.,3,3,0,1,0,0,,2,2013
60,1,1,0,John J. McConnell Jr.,3,,0,1,0,3,,1,2015
78,1,1,3,John J. McConnell Jr.,5,1,0,1,0,24,,12,2014
72,1,1,0,John J. McConnell Jr.,5,1,0,1,0,24,,12,2014
48,1,1,6,John J. McConnell Jr.,3,1,0,1,60,0,,4,2013
37,4,1,1,John J. McConnell Jr.,1,3,0,1,24,0,,12,2013
50,1,1,1,John J. McConnell Jr.,6,1,0,1,27,0,,5,2013
42,1,1,4,John J. McConnell Jr.,1,1,0,1,120,0,,10,2013
24,1,1,4,John J. McConnell Jr.,1,6,0,1,30,0,,6,2013
40,1,1,0,John J. McConnell Jr.,3,3,1,1,0,60,,1,2014
61,1,1,0,John J. McConnell Jr.,1,1,0,1,41,0,,8,2014
32,1,1,8,John J. McConnell Jr.,1,2,0,1,63,0,,3,2014
44,1,1,1,John J. McConnell Jr.,1,1,0,1,18,0,,7,2013
59,1,0,0,John J. McConnell Jr.,6,1,0,1,72,0,,6,2014
28,1,1,27,John J. McConnell Jr.,1,3,0,1,77,0,,12,2013
38,3,1,2,John J. McConnell Jr.,1,3,0,1,0,0,,7,2013
50,1,1,0,John J. McConnell Jr.,3,1,1,1,0,36,,2,2014
48,1,1,3,John J. McConnell Jr.,5,1,0,1,0,0,,1,2014
31,1,1,9,John J. McConnell Jr.,1,2,0,1,46,0,,8,2014
28,1,1,21,John J. McConnell Jr.,1,3,0,1,51,0,,10,2013
27,1,1,9,John J. McConnell Jr.,3,3,0,1,70,0,,12,2013
35,1,1,14,John J. McConnell Jr.,3,3,0,1,18,0,,10,2013
38,1,1,14,John J. McConnell Jr.,3,3,0,1,92,0,,2,2016
37,1,1,0,John J. McConnell Jr.,5,1,0,1,0,36,,3,2014
56,1,1,7,John J. McConnell Jr.,3,1,0,1,48,0,,8,2014
48,1,1,28,John J. McConnell Jr.,5,1,0,1,30,0,,7,2014
43,1,1,1,John J. McConnell Jr.,5,1,0,1,20,0,,1,2015
28,1,1,0,John J. McConnell Jr.,5,1,1,1,0,0,,4,2014
54,1,1,1,John J. McConnell Jr.,5,1,0,1,0,0,,2,2014
22,1,0,0,John J. McConnell Jr.,5,1,0,1,0,24,,5,2014
44,2,0,0,John J. McConnell Jr.,3,1,0,1,0,36,,9,2014
53,2,0,0,John J. McConnell Jr.,1,1,0,1,0,60,,3,2014
53,2,0,0,John J. McConnell Jr.,3,1,0,1,36,0,,9,2014
32,2,0,0,John J. McConnell Jr.,1,3,0,1,24,0,,3,2014
60,1,0,0,John J. McConnell Jr.,6,6,1,1,0,0,,2,2014
21,1,1,8,John J. McConnell Jr.,3,2,0,1,46,0,,3,2014
34,1,1,6,John J. McConnell Jr.,3,2,0,1,186,0,,10,2014
54,1,1,0,John J. McConnell Jr.,5,1,0,1,30,0,,4,2015
29,1,0,0,John J. McConnell Jr.,5,1,0,1,0,36,,1,2014
48,1,1,0,John J. McConnell Jr.,3,1,1,1,0,36,,1,2014
31,1,1,2,John J. McConnell Jr.,1,3,0,1,0,36,,1,2014
22,1,1,0,John J. McConnell Jr.,3,2,0,1,0,36,,4,2014
71,1,0,0,John J. McConnell Jr.,6,1,0,1,0,60,,9,2014
30,2,1,3,John J. McConnell Jr.,3,6,0,1,120,0,,3,2014
40,1,1,6,John J. McConnell Jr.,3,3,0,1,60,0,,3,2015
35,1,1,1,John J. McConnell Jr.,5,1,0,1,0,36,,4,2014
34,1,1,0,John J. McConnell Jr.,5,3,0,1,24,0,,3,2016
27,1,1,0,John J. McConnell Jr.,3,1,0,1,286,0,,12,2014
37,1,1,12,John J. McConnell Jr.,3,3,0,1,70,0,,11,2014
49,1,1,13,John J. McConnell Jr.,3,3,0,1,180,0,,4,2014
26,1,0,0,John J. McConnell Jr.,1,6,0,1,84,0,,7,2014
37,1,1,0,John J. McConnell Jr.,1,1,0,1,60,0,,8,2014
31,1,1,21,John J. McConnell Jr.,3,3,0,1,60,0,,1,2015
56,1,0,0,John J. McConnell Jr.,3,6,0,1,0,60,,6,2014
30,1,1,1,John J. McConnell Jr.,5,1,0,1,168,0,,7,2014
26,2,0,0,John J. McConnell Jr.,5,3,1,1,0,36,,6,2014
33,2,1,0,John J. McConnell Jr.,1,3,0,1,60,0,,9,2015
51,1,1,8,John J. McConnell Jr.,5,1,0,1,96,0,,11,2014
28,2,0,0,John J. McConnell Jr.,3,3,0,1,24,0,,10,2014
32,1,1,4,John J. McConnell Jr.,3,3,0,1,48,0,,2,2015
50,1,,,John J. McConnell Jr.,,1,0,1,0,0,,2,2014
29,1,1,1,John J. McConnell Jr.,1,3,0,1,48,0,,6,2014
45,1,1,0,John J. McConnell Jr.,1,1,1,1,48,0,,9,2014
55,1,0,0,John J. McConnell Jr.,1,3,1,1,0,36,,6,2014
68,1,1,0,John J. McConnell Jr.,6,1,0,1,6,0,,1,2016
27,1,1,1,John J. McConnell Jr.,5,2,0,1,24,0,,12,2014
27,3,1,3,John J. McConnell Jr.,3,2,0,1,30,0,,7,2014
28,1,1,9,John J. McConnell Jr.,1,6,0,1,30,0,,6,2015
24,1,1,7,John J. McConnell Jr.,1,3,0,1,60,0,,9,2014
48,1,1,0,John J. McConnell Jr.,6,1,0,1,0,36,,9,2014
29,1,1,12,John J. McConnell Jr.,,6,0,1,110,0,,11,2014
33,1,1,5,John J. McConnell Jr.,5,2,0,1,0,36,,2,2015
71,1,0,0,John J. McConnell Jr.,3,1,0,1,0,24,,12,2014
41,1,1,3,John J. McConnell Jr.,3,2,0,1,84,0,,10,2015
45,2,1,14,John J. McConnell Jr.,3,2,0,1,96,0,,1,2016
44,1,1,11,John J. McConnell Jr.,1,2,0,1,156,0,,3,2016
53,2,1,0,John J. McConnell Jr.,3,2,0,1,42,0,,1,2016
41,1,1,15,John J. McConnell Jr.,3,1,0,1,150,0,,8,2015
53,1,1,0,John J. McConnell Jr.,5,1,0,1,0,36,,1,2015
71,1,0,0,John J. McConnell Jr.,3,1,1,1,0,36,,1,2015
31,2,0,0,John J. McConnell Jr.,1,3,0,1,36,0,,6,2015
29,3,0,0,John J. McConnell Jr.,3,3,0,1,48,0,,2,2015
42,1,1,1,John J. McConnell Jr.,3,1,0,1,18,0,,3,2015
37,1,1,1,John J. McConnell Jr.,3,3,1,1,36,0,,4,2015
36,1,1,2,John J. McConnell Jr.,1,3,0,1,78,0,,11,2015
38,1,1,7,John J. McConnell Jr.,5,2,1,1,0,0,,1,2016
53,1,1,3,John J. McConnell Jr.,6,1,0,1,65,0,,10,2015
32,1,0,0,John J. McConnell Jr.,3,1,0,1,0,36,,6,2015
54,1,0,0,John J. McConnell Jr.,6,1,0,1,0,0,,6,2015
23,1,1,6,John J. McConnell Jr.,3,1,0,1,0,36,,6,2015
32,1,1,0,John J. McConnell Jr.,5,1,0,1,60,0,,6,2015
68,1,1,0,John J. McConnell Jr.,3,1,0,1,36,0,,9,2015
28,1,1,10,John J. McConnell Jr.,3,3,1,1,60,0,,1,2016
38,1,1,6,John J. McConnell Jr.,1,3,0,1,60,0,,1,2016
33,1,1,2,John J. McConnell Jr.,1,,0,1,36,0,,7,2015
21,1,1,6,John J. McConnell Jr.,3,2,0,1,120,0,,8,2016
45,2,1,6,John J. McConnell Jr.,3,2,0,1,46,0,,8,2016
21,1,1,0,John J. McConnell Jr.,3,3,0,1,24,0,,10,2016
20,1,1,1,John J. McConnell Jr.,1,3,0,1,60,0,,12,2016
26,1,1,3,John J. McConnell Jr.,5,3,0,1,36,0,,4,2017
22,1,1,1,John J. McConnell Jr.,3,3,0,1,0,12,,4,2017
29,1,1,8,John J. McConnell Jr.,1,6,0,1,24,0,,1,2016
27,1,1,0,John J. McConnell Jr.,1,3,0,1,18,0,,5,2016
22,2,1,2,John J. McConnell Jr.,1,3,0,1,27,0,,5,2016
28,1,1,6,John J. McConnell Jr.,1,3,0,1,20,0,,6,2016
30,1,1,6,John J. McConnell Jr.,1,3,0,1,24,0,,5,2016
30,1,1,16,John J. McConnell Jr.,3,2,0,1,46,0,,11,2016
33,3,1,1,John J. McConnell Jr.,1,3,0,1,0,0,,8,2015
72,1,0,0,John J. McConnell Jr.,5,1,0,1,0,12,,11,2015
34,1,1,1,John J. McConnell Jr.,5,3,0,1,0,0,,3,2016
22,1,0,0,John J. McConnell Jr.,3,3,1,1,0,0,,4,2018
24,1,1,3,John J. McConnell Jr.,3,2,0,1,0,0,,2,2016
27,1,1,2,John J. McConnell Jr.,1,3,0,1,24,0,,7,2016
45,1,0,0,John J. McConnell Jr.,6,1,0,1,37,0,,1,2018
36,1,0,0,John J. McConnell Jr.,6,1,0,1,46,0,,5,2016
25,1,1,4,John J. McConnell Jr.,3,3,0,1,0,0,,2,2018
34,1,1,0,John J. McConnell Jr.,5,1,0,1,0,0,,5,2016
32,3,1,0,John J. McConnell Jr.,1,3,0,1,24,0,,10,2016
31,1,1,10,John J. McConnell Jr.,5,2,0,1,72,0,,9,2016
32,1,1,1,John J. McConnell Jr.,1,3,0,1,72,0,,5,2016
40,1,1,1,John J. McConnell Jr.,6,1,0,1,0,0,,6,2016
34,1,0,0,John J. McConnell Jr.,3,1,1,1,0,24,,4,2017
36,1,1,5,John J. McConnell Jr.,1,3,0,1,0,36,,8,2017
40,1,1,0,John J. McConnell Jr.,5,1,0,1,18,0,,4,2017
42,1,1,0,John J. McConnell Jr.,6,1,0,1,48,0,,4,2017
43,1,1,0,John J. McConnell Jr.,5,1,0,1,0,36,,5,2017
36,1,1,33,John J. McConnell Jr.,3,1,0,1,34,0,,5,2016
41,1,1,0,John J. McConnell Jr.,5,1,0,1,87,0,,12,2016
44,1,1,11,John J. McConnell Jr.,1,2,0,1,92,0,,5,2016
48,1,0,0,John J. McConnell Jr.,6,1,0,1,60,0,,2,2017
33,2,1,1,John J. McConnell Jr.,5,3,0,1,0,0,,10,2016
37,1,1,13,John J. McConnell Jr.,1,2,0,1,0,0,,1,2017
28,1,1,9,John J. McConnell Jr.,3,3,0,1,57,0,,2,2017
50,1,1,0,John J. McConnell Jr.,1,3,1,1,0,24,,6,2016
31,1,1,13,John J. McConnell Jr.,1,3,0,1,24,0,,1,2017
32,1,1,4,John J. McConnell Jr.,5,1,0,1,15,0,,2,2017
41,1,0,0,John J. McConnell Jr.,6,1,0,1,0,36,,2,2017
51,1,1,0,John J. McConnell Jr.,3,1,0,1,180,0,,4,2017
26,1,1,0,John J. McConnell Jr.,5,1,0,1,0,24,,10,2016
26,1,1,9,John J. McConnell Jr.,3,2,0,1,60,0,,6,2017
31,1,1,0,John J. McConnell Jr.,5,1,0,1,24,0,,6,2017
26,1,1,2,John J. McConnell Jr.,3,3,0,1,60,0,,6,2017
67,1,0,0,John J. McConnell Jr.,6,1,0,1,6,0,,9,2016
23,1,1,0,John J. McConnell Jr.,3,1,0,1,0,36,,11,2016
24,1,1,4,John J. McConnell Jr.,3,1,0,1,180,0,,8,2017
30,1,1,11,John J. McConnell Jr.,1,2,0,1,42,0,,9,2017
